celebrity_name,ballroom_partner,partner_id,celebrity_industry,celebrity_age_during_season,is_usa,season,voting_rule_phase,placement,total_weeks_participated,avg_score_all_weeks,score_improvement,elimination_week
John O'Hurley,Charlotte Jorgensen,0,Actor/Actress,50,1,1,1,2,6,8.055555555555555,2.333333333333333,0
Kelly Monaco,Alec Mazo,1,Actor/Actress,29,1,1,1,1,6,7.111111111111111,4.833333333333333,0
Evander Holyfield,Edyta Sliwinska,2,Athlete,42,1,1,1,5,3,5.0,-1.666666666666667,3
Rachel Hunter,Jonathan Roberts,3,Model,35,0,1,1,4,4,7.916666666666667,1.666666666666667,4
Joey McIntyre,Ashly DelGrosso,4,Singer/Rapper,32,1,1,1,3,5,7.033333333333334,0.833333333333333,0
Trista Sutter,Louis van Amstel,5,Tv Personality,32,1,1,1,6,2,6.166666666666666,0.33333333333333304,2
Tatum O'Neal,Nick Kosovich,6,Actor/Actress,42,1,2,1,9,2,6.666666666666667,-2.0,2
Tia Carrere,Maksim Chmerkoskiy,7,Actor/Actress,39,1,2,1,6,5,7.666666666666667,0.6666666666666661,5
George Hamilton,Edyta Sliwinska,2,Actor/Actress,66,1,2,1,5,6,7.222222222222221,1.666666666666667,6
Lisa Rinna,Louis van Amstel,5,Actor/Actress,42,1,2,1,4,7,8.023809523809524,2.500000000000001,7
Stacy Keibler,Tony Dovolani,8,Athlete,26,1,2,1,3,8,9.173604166666667,2.2221666666666673,0
Jerry Rice,Anna Trebunskaya,9,Athlete,43,1,2,1,2,8,7.506941666666667,1.888866666666667,0
Giselle Fernandez,Jonathan Roberts,3,News Anchor,44,0,2,1,8,3,7.666666666666667,-0.3333333333333339,3
Master P,Ashly DelGrosso,4,Singer/Rapper,35,1,2,1,7,4,4.166666666666666,-1.3333333333333335,4
Drew Lachey,Cheryl Burke,10,Singer/Rapper,29,1,2,1,1,8,9.145825,1.6666000000000007,0
Kenny Mayne,Andrea Hale,11,Sports Broadcaster,46,1,2,1,10,1,4.333333333333333,,1
Harry Hamlin,Ashly DelGrosso,4,Actor/Actress,54,1,3,2,9,3,6.666666666666667,1.666666666666666,3
Vivica A. Fox,Nick Kosovich,6,Actor/Actress,42,1,3,2,8,4,8.083333333333332,0.666666666666667,4
Monique Coleman,Louis van Amstel,5,Actor/Actress,25,1,3,2,4,8,8.3125,2.500000000000001,8
Joey Lawrence,Edyta Sliwinska,2,Actor/Actress,30,1,3,2,3,9,8.62962962962963,2.833333333333334,0
Mario Lopez,Karina Smirnoff,12,Actor/Actress,32,1,3,2,2,10,8.955553333333334,1.2222000000000008,0
Emmitt Smith,Cheryl Burke,10,Athlete,37,1,3,2,1,10,8.588886666666667,1.888866666666667,0
Shanna Moakler,Jesse DeSoto,13,Model,31,1,3,2,10,2,6.666666666666666,1.333333333333333,2
Willa Ford,Maksim Chmerkoskiy,7,Singer/Rapper,25,1,3,2,7,5,8.133333333333335,1.666666666666667,5
Sara Evans,Tony Dovolani,8,Singer/Rapper,35,1,3,2,6,5,7.0,3.0,-1
Jerry Springer,Kym Johnson,14,Tv Personality,62,0,3,2,5,7,6.80952380952381,2.333333333333334,7
Tucker Carlson,Elena Grinenko,15,Tv Personality,37,1,3,2,11,1,4.0,,1
John Ratzenberger,Edyta Sliwinska,2,Actor/Actress,59,1,4,2,6,7,6.357142857142857,1.833333333333333,7
Ian Ziering,Cheryl Burke,10,Actor/Actress,42,1,4,2,4,9,8.092592592592592,2.666666666666666,9
Clyde Drexler,Elena Grinenko,15,Athlete,44,1,4,2,8,5,5.199999999999999,-1.0,5
Laila Ali,Maksim Chmerkoskiy,7,Athlete,29,1,4,2,3,10,8.74444,1.7777333333333347,0
Apolo Anton Ohno,Julianne Hough,16,Athlete,24,1,4,2,1,10,8.961106666666666,2.777733333333334,0
Shandi Finnessey,Brian Fortuna,17,Beauty Pagent,28,1,4,2,10,3,6.666666666666667,0.666666666666667,3
Paulina Porizkova,Alec Mazo,1,Model,41,0,4,2,11,2,6.666666666666666,0.666666666666667,2
Heather Mills,Jonathan Roberts,3,Model,39,0,4,2,7,6,7.388888888888889,1.666666666666667,6
Billy Ray Cyrus,Karina Smirnoff,12,Singer/Rapper,45,1,4,2,5,8,6.333333333333334,2.0,8
Joey Fatone,Kym Johnson,14,Singer/Rapper,30,1,4,2,2,10,8.922216666666667,1.5555000000000003,0
Leeza Gibbons,Tony Dovolani,8,Tv Personality,50,1,4,2,9,4,6.333333333333333,0.33333333333333304,4
Cameron Mathison,Edyta Sliwinska,2,Actor/Actress,38,0,5,2,5,8,8.083333333333334,1.5,8
Jane Seymour,Tony Dovolani,8,Actor/Actress,56,0,5,2,6,7,8.142857142857142,0.3333333333333339,7
Sabrina Bryan,Mark Ballas,18,Actor/Actress,23,1,5,2,7,6,9.0,-0.33333333333333215,6
