celebrity_name,season,week,voting_rule_phase,judge_count,weekly_total,weekly_avg,is_eliminated_this_week,placement
John O'Hurley,1,1,1,4,20.0,6.666666666666667,0,2
John O'Hurley,1,2,1,4,26.0,8.666666666666666,0,2
John O'Hurley,1,3,1,4,24.0,8.0,0,2
John O'Hurley,1,4,1,4,21.0,7.0,0,2
John O'Hurley,1,5,1,4,27.0,9.0,0,2
John O'Hurley,1,6,1,4,27.0,9.0,0,2
Kelly Monaco,1,1,1,4,13.0,4.333333333333333,0,1
Kelly Monaco,1,2,1,4,17.0,5.666666666666667,0,1
Kelly Monaco,1,3,1,4,21.0,7.0,0,1
Kelly Monaco,1,4,1,4,26.0,8.666666666666666,0,1
Kelly Monaco,1,5,1,4,23.5,7.833333333333333,0,1
Kelly Monaco,1,6,1,4,27.5,9.166666666666666,0,1
Evander Holyfield,1,1,1,4,18.0,6.0,0,5
Evander Holyfield,1,2,1,4,14.0,4.666666666666667,0,5
Evander Holyfield,1,3,1,4,13.0,4.333333333333333,1,5
Rachel Hunter,1,1,1,4,20.0,6.666666666666667,0,4
Rachel Hunter,1,2,1,4,24.0,8.0,0,4
Rachel Hunter,1,3,1,4,26.0,8.666666666666666,0,4
Rachel Hunter,1,4,1,4,25.0,8.333333333333334,1,4
Joey McIntyre,1,1,1,4,20.0,6.666666666666667,0,3
Joey McIntyre,1,2,1,4,21.0,7.0,0,3
Joey McIntyre,1,3,1,4,22.0,7.333333333333333,0,3
Joey McIntyre,1,4,1,4,20.0,6.666666666666667,0,3
Joey McIntyre,1,5,1,4,22.5,7.5,0,3
Trista Sutter,1,1,1,4,18.0,6.0,0,6
Trista Sutter,1,2,1,4,19.0,6.333333333333333,1,6
Tatum O'Neal,2,1,1,4,23.0,7.666666666666667,0,9
Tatum O'Neal,2,2,1,4,17.0,5.666666666666667,1,9
Tia Carrere,2,1,1,4,20.0,6.666666666666667,0,6
Tia Carrere,2,2,1,4,22.0,7.333333333333333,0,6
Tia Carrere,2,3,1,4,26.0,8.666666666666666,0,6
Tia Carrere,2,4,1,4,25.0,8.333333333333334,0,6
Tia Carrere,2,5,1,4,22.0,7.333333333333333,1,6
George Hamilton,2,1,1,4,18.0,6.0,0,5
George Hamilton,2,2,1,4,22.0,7.333333333333333,0,5
George Hamilton,2,3,1,4,22.0,7.333333333333333,0,5
George Hamilton,2,4,1,4,21.0,7.0,0,5
George Hamilton,2,5,1,4,24.0,8.0,0,5
George Hamilton,2,6,1,4,23.0,7.666666666666667,1,5
Lisa Rinna,2,1,1,4,19.0,6.333333333333333,0,4
Lisa Rinna,2,2,1,4,20.0,6.666666666666667,0,4
Lisa Rinna,2,3,1,4,25.0,8.333333333333334,0,4
Lisa Rinna,2,4,1,4,26.0,8.666666666666666,0,4
Lisa Rinna,2,5,1,4,25.0,8.333333333333334,0,4
Lisa Rinna,2,6,1,4,27.0,9.0,0,4
Lisa Rinna,2,7,1,4,26.5,8.833333333333334,1,4
Stacy Keibler,2,1,1,4,22.0,7.333333333333333,0,3
Stacy Keibler,2,2,1,4,29.0,9.666666666666666,0,3
Stacy Keibler,2,3,1,4,27.0,9.0,0,3
Stacy Keibler,2,4,1,4,26.0,8.666666666666666,0,3
Stacy Keibler,2,5,1,4,30.0,10.0,0,3
Stacy Keibler,2,6,1,4,30.0,10.0,0,3
Stacy Keibler,2,7,1,4,27.5,9.166666666666666,0,3
Stacy Keibler,2,8,1,4,28.6665,9.5555,0,3
Jerry Rice,2,1,1,4,21.0,7.0,0,2
Jerry Rice,2,2,1,4,23.0,7.666666666666667,0,2
Jerry Rice,2,3,1,4,19.0,6.333333333333333,0,2
Jerry Rice,2,4,1,4,24.0,8.0,0,2
Jerry Rice,2,5,1,4,23.0,7.666666666666667,0,2
Jerry Rice,2,6,1,4,23.0,7.666666666666667,0,2
Jerry Rice,2,7,1,4,20.5,6.833333333333333,0,2
Jerry Rice,2,8,1,4,26.666600000000003,8.888866666666667,0,2
Giselle Fernandez,2,1,1,4,23.0,7.666666666666667,0,8
Giselle Fernandez,2,2,1,4,24.0,8.0,0,8
Giselle Fernandez,2,3,1,4,22.0,7.333333333333333,1,8
Master P,2,1,1,4,12.0,4.0,0,7
Master P,2,2,1,4,16.0,5.333333333333333,0,7
Master P,2,3,1,4,14.0,4.666666666666667,0,7
Master P,2,4,1,4,8.0,2.6666666666666665,1,7
Drew Lachey,2,1,1,4,24.0,8.0,0,1
