celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,judge_count,max_score,voting_rule,voting_phase,elimination_week,week1_total,week1_avg,week2_total,week2_avg,week3_total,week3_avg,week4_total,week4_avg,week5_total,week5_avg,week6_total,week6_avg,week7_total,week7_avg,week8_total,week8_avg,week9_total,week9_avg,week10_total,week10_avg,week11_total,week11_avg,last_valid_week,partner_id,avg_score_all_weeks,score_trend
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,3,17.0,5.666666666666667,21.0,7.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,4,20.0,2.500000000000004
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,4,22.0,7.333333333333333,24.0,8.0,27.0,9.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,6,24.25,0.900000000000002
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,8,19.0,6.333333333333333,26.0,8.666666666666666,27.0,9.0,24.0,8.0,27.0,9.0,23.0,7.666666666666667,27.0,9.0,26.5,8.833333333333334,0.0,0.0,0.0,0.0,0.0,,8,5,24.9375,0.577380952380952
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,9,21.0,7.0,29.0,9.666666666666666,22.0,7.333333333333333,27.0,9.0,25.0,8.333333333333334,24.0,8.0,28.5,9.5,27.0,9.0,29.5,9.833333333333334,0.0,0.0,0.0,,9,2,25.88888888888889,0.6333333333333335
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,3,30,percent,2,10,26.0,8.666666666666666,21.0,7.0,22.0,7.333333333333333,29.0,9.666666666666666,27.0,9.0,28.0,9.333333333333334,28.0,9.333333333333334,28.5,9.5,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,,10,12,26.866660000000003,0.7454509090909093
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,3,30,percent,2,99,24.0,8.0,24.0,8.0,19.0,6.333333333333333,24.0,8.0,27.0,9.0,25.0,8.333333333333334,28.5,9.5,27.0,9.0,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,,10,10,25.76666,0.8545418181818192
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,2,18.0,6.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,13,20.0,3.9999999999999973
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,5,22.0,7.333333333333333,23.0,7.666666666666667,22.0,7.333333333333333,28.0,9.333333333333334,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,7,24.4,1.4999999999999976
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,-1,15.0,5.0,21.0,7.0,25.0,8.333333333333334,20.0,6.666666666666667,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,8,21.0,1.6999999999999995
Jerry Springer,Kym Johnson,Tv Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,30,percent,2,7,16.0,5.333333333333333,19.0,6.333333333333333,21.0,7.0,22.0,7.333333333333333,24.0,8.0,18.0,6.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,14,20.428571428571427,0.7857142857142854
