celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,judge_count,max_score,voting_rule,voting_phase,elimination_week,week1_total,week1_avg,week2_total,week2_avg,week3_total,week3_avg,week4_total,week4_avg,week5_total,week5_avg,week6_total,week6_avg,week7_total,week7_avg,week8_total,week8_avg,week9_total,week9_avg,week10_total,week10_avg,week11_total,week11_avg,last_valid_week,partner_id,avg_score_all_weeks,score_trend
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,3,30,rank,1,10,20.0,6.666666666666667,26.0,8.666666666666666,24.0,8.0,21.0,7.0,27.0,9.0,27.0,9.0,0.0,,0.0,,0.0,,0.0,,0.0,,6,0,24.166666666666668,1.0000000000000002
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,3,30,rank,1,99,13.0,4.333333333333333,17.0,5.666666666666667,21.0,7.0,26.0,8.666666666666666,23.5,7.833333333333333,27.5,9.166666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,6,1,21.333333333333332,2.771428571428571
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,30,rank,1,3,18.0,6.0,14.0,4.666666666666667,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,3,2,15.0,-2.4999999999999982
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,30,rank,1,4,20.0,6.666666666666667,24.0,8.0,26.0,8.666666666666666,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,4,3,23.75,1.7000000000000004
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,30,rank,1,9,20.0,6.666666666666667,21.0,7.0,22.0,7.333333333333333,20.0,6.666666666666667,22.5,7.5,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,5,4,21.1,0.3999999999999981
Trista Sutter,Louis van Amstel,Tv Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,30,rank,1,2,18.0,6.0,19.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,2,5,18.5,0.9999999999999956
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,30,rank,1,2,23.0,7.666666666666667,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2,6,20.0,-6.000000000000003
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,30,rank,1,5,20.0,6.666666666666667,22.0,7.333333333333333,26.0,8.666666666666666,25.0,8.333333333333334,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,5,7,23.0,0.6999999999999984
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,30,rank,1,6,18.0,6.0,22.0,7.333333333333333,22.0,7.333333333333333,21.0,7.0,24.0,8.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,6,2,21.666666666666668,0.857142857142857
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,30,rank,1,7,19.0,6.333333333333333,20.0,6.666666666666667,25.0,8.333333333333334,26.0,8.666666666666666,25.0,8.333333333333334,27.0,9.0,26.5,8.833333333333334,0.0,0.0,0.0,,0.0,,0.0,,7,5,24.071428571428573,1.303571428571428
