celebrity_name,season,ballroom_partner,age,age_scaled,season,season_scaled,voting_phase,partner_id,partner_name,season_group,industry_Actor/Actress,industry_Astronaut,industry_Athlete,industry_Beauty Pagent,industry_Comedian,industry_Con Artist,industry_Conservationist,industry_Entrepreneur,industry_Fashion Designer,industry_Fitness Instructor,industry_Journalist,industry_Magician,industry_Military,industry_Model,industry_Motivational Speaker,industry_Musician,industry_News Anchor,industry_Politician,industry_Producer,industry_Racing Driver,industry_Radio Personality,industry_Singer/Rapper,industry_Social Media Personality,industry_Sports Broadcaster,industry_Tv Personality,placement,avg_score,last_week
John O'Hurley,1,Charlotte Jorgensen,50,0.8146424767490191,1,-1.7759730760801216,1,0,Charlotte Jorgensen,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,24.166666666666668,6
Kelly Monaco,1,Alec Mazo,29,-0.7109356077538573,1,-1.7759730760801216,1,1,Alec Mazo,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,21.333333333333332,6
Evander Holyfield,1,Edyta Sliwinska,42,0.23346987312887574,1,-1.7759730760801216,1,2,Edyta Sliwinska,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,15.0,3
Rachel Hunter,1,Jonathan Roberts,35,-0.27505615503874975,1,-1.7759730760801216,1,3,Jonathan Roberts,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4,23.75,4
Joey McIntyre,1,Ashly DelGrosso,32,-0.49299588139630357,1,-1.7759730760801216,1,4,Ashly DelGrosso,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,21.1,5
Trista Sutter,1,Louis van Amstel,32,-0.49299588139630357,1,-1.7759730760801216,1,5,Louis van Amstel,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6,18.5,2
Tatum O'Neal,2,Nick Kosovich,42,0.23346987312887574,2,-1.6731985516774095,1,6,Nick Kosovich,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,20.0,2
Tia Carrere,2,Maksim Chmerkoskiy,39,0.015530146771321949,2,-1.6731985516774095,1,7,Maksim Chmerkoskiy,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,23.0,5
George Hamilton,2,Edyta Sliwinska,66,1.9769876839893061,2,-1.6731985516774095,1,2,Edyta Sliwinska,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,21.666666666666668,6
Lisa Rinna,2,Louis van Amstel,42,0.23346987312887574,2,-1.6731985516774095,1,5,Louis van Amstel,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,24.071428571428573,7
